Match number,Reporting organisation,Provider Organisation,Data source,Loans ,Grants 
41,World Health Organization [XM-DAC-928],"Department for International Development (DFID), United Kingdom ",IATI,n/a,0
41,World Health Organization [XM-DAC-928],"Department of Foreign Affairs, Trade and Development (DFATD), Canada ",IATI,n/a,0
41,World Health Organization [XM-DAC-928],Fondation d'Entreprise Sanofi Espoir ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],GAVI Alliance ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],Gilead Sciences Inc ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],Ikea Foundation ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],Irish Aid ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],Joint United Nations Programme on HIV/AIDS (UNAIDS) ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],Miscellaneous ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],National Philanthropic Trust (NPT) ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],Norwegian Agency for Development Cooperation (NORAD) ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],Programme Support Costs ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],Rotary International ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],Sanofi-Aventis ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],UNDP Multi-Partner Trust Fund (MPTF) ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],UNITAID ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],United Kingdom of Great Britain and Northern Ireland ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],United Nations Central Emergency Response Fund (CERF) ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],United Nations Children's Fund (UNICEF) ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],United Nations Foundation ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],United Nations Population Fund (UNFPA) ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],United States Agency for International Development (USAID) ,IATI,n/a,0
41,World Health Organization [XM-DAC-928],World Health Organization [XM-DAC-928],IATI,n/a,0
42,Charity Projects Ltd (Comic Relief),Charity Projects Ltd,CRS,n/a,0
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326568],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326572],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326634],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326635],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326636],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326637],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326638],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326639],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326640],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326669],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326670],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326671],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326695],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326696],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326697],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326698],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326699],IATI,n/a,1
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326700],IATI,n/a,1
43,African Development Bank,AfDB African Water Facility Fund,CRS,1,0
43,African Development Bank,AfDB Ordinary Capital,CRS,1,0
43,African Development Bank,Fund for African Private Sector Assistance,CRS,1,0
43,African Development Bank [XM-DAC-46002],African Development Bank [XM-DAC-46002],IATI,0,n/a
43,African Development Bank [XM-DAC-46002],African Development Fund [XM-DAC-46003],IATI,0,n/a
43,African Development Bank [XM-DAC-46002],Government Of Uganda ,IATI,0,n/a
43,African Development Bank [XM-DAC-46002],Nigerian Trust Fund [XM-DAC-NTF],IATI,0,n/a
43,African Development Fund,AfDF,CRS,1,0
43,African Development Fund,NTF,CRS,1,0
46,Belgian development agency (Enabel) [BE-BCE_KBO-0264814354],Belgian development agency (Enabel) [BE-BCE_KBO-0264814354],IATI,n/a,1
46,Belgium,Directorate General for Co-operation and Development,CRS,n/a,0
NEW 1,African Development Bank,AfDB Special Relief Fund,CRS ,1,1
NEW 2,Bloomberg Family Foundation,Bloomberg Family Foundation,CRS,1,1
NEW 3,United Nations Industrial Development Organization,UNIDO,CRS,1,1
NEW 4,WTO - International Trade Centre,International Trade Centre,CRS,1,1
