Match number,Reporting organisation,Provider Organisation,Data source,Loans,Grants
36,United Nations Children's Fund (UNICEF) [XM-DAC-41122],UNOCHA ,IATI,n/a,n/a
36,United Nations Children's Fund (UNICEF) [XM-DAC-41122],USA (State) BPRM ,IATI,n/a,n/a
36,United Nations Children's Fund (UNICEF) [XM-DAC-41122],USA (USAID) OFDA ,IATI,n/a,n/a
36,United Nations Children's Fund (UNICEF) [XM-DAC-41122],USA CDC ,IATI,n/a,n/a
36,United Nations Children's Fund (UNICEF) [XM-DAC-41122],USA USAID ,IATI,n/a,n/a
36,United Nations Children's Fund (UNICEF) [XM-DAC-41122],USAID ,IATI,n/a,n/a
36,United Nations Children's Fund (UNICEF) [XM-DAC-41122],USAID/Food for Peace ,IATI,n/a,n/a
36,United Nations Children's Fund (UNICEF) [XM-DAC-41122],World Bank - Washington D.C. ,IATI,n/a,n/a
36,United Nations Children's Fund (UNICEF) [XM-DAC-41122],YOUNG CHILD SURVIVAL & DEVELOPMENT ,IATI,n/a,n/a
37,MasterCard Foundation,MasterCard Foundation,CRS,0,n/a
37,Mastercard Foundation [CA-CRA_ACR-817387277],Mastercard Foundation [CA-CRA_ACR-817387277],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Australia [AUL],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Austria [AUS],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Belgium [BEL],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Canada [CAN],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],China [CHA],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Czech Republic [CZE],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Denmark [DEN],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Ethiopia [ETH],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],European Commission [EEC],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Finland [FIN],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],France [FRA],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Germany [GER],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Ireland [IRE],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Japan [JPN],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Luxembourg [LUX],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Multilateral [MU],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],New Zealand [NZE],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Norway [NOR],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Private Donors [WPD],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Republic of Korea [KOR],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Saudi Arabia [SAU],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Sweden [SWE],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],Switzerland [SWI],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],UN Common Funds and Agencies [1],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],UN Other Funds and Agencies (excl. CERF) [1],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],United Kingdom [UK],IATI,n/a,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],United Nations World Food Programme (WFP) [XM-DAC-41140],IATI,0,n/a
38,United Nations World Food Programme (WFP) [XM-DAC-41140],USA [USA],IATI,n/a,n/a
38,WFP,WFP,CRS,1,n/a
40.4,Millennium Challenge Corporation [US-18],Millennium Challenge Corporation [US-18],IATI,n/a,n/a
39,United States,African Development Foundation,CRS,1,n/a
39,United States,Department of Defense,CRS,1,n/a
39,United States,Department of Energy,CRS,1,n/a
39,United States,Department of Health and Human Services,CRS,1,n/a
39,United States,Department of Homeland Security,CRS,1,n/a
39,United States,Department of Labor,CRS,1,n/a
39,United States,Department of the Interior,CRS,1,n/a
39,United States,Department of Treasury,CRS,1,n/a
39,United States,Millennium Challenge Corporation,CRS,1,n/a
39,United States,Peace Corps,CRS,1,n/a
39,United States,State Department,CRS,1,n/a
39,United States,Trade and Development Agency,CRS,1,n/a
39,United States [US-USAGOV],United States [US-USAGOV],IATI,0,n/a
40,United States,Agency for International Development,CRS,1,n/a
40,United States Agency for International Development (USAID) [US-GOV-1],United States Agency for International Development (USAID) [US-GOV-1],IATI,0,n/a
41,World Health Organisation,WHO,CRS,1,n/a
41,World Health Organisation,WHO Assessed contributions,CRS,1,n/a
41,World Health Organisation,WHO Core Voluntary contributions,CRS,1,n/a
41,World Health Organization [XM-DAC-928],Americans for UNFPA ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Assessed Contributions ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Bill & Melinda Gates Foundation ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Bristol-Myers Squibb ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Canadian International Development Agency (CIDA/ACDI) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Carter Center ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],CDC Foundation ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],"Centers for Disease Control and Prevention (CDC), United States of America ",IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Core Voluntary Contributions ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],"Department for International Development (DFID), United Kingdom ",IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],"Department of Foreign Affairs, Trade and Development (DFATD), Canada ",IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],"DG for International Cooperation and Development (DEVCO), European Commission ",IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Fondation d'Entreprise Sanofi Espoir ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],GAVI Alliance ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Global Affairs Canada ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Japan ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Joint United Nations Programme on HIV/AIDS (UNAIDS) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],KNCV Tuberculosis Foundation ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Korea International Cooperation Agency (KOICA) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Medicines for Malaria Venture (MMV) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],"Ministry of Foreign Affairs, Japan ",IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],"Ministry of Foreign Affairs, Netherlands ",IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Miscellaneous ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],National Philanthropic Trust (NPT) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Norwegian Agency for Development Cooperation (NORAD) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Options Consultancy Services Ltd ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Programme Support Costs ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Rotary International ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Sasakawa Memorial Health Foundation ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Swiss Development Cooperation Agency (SDC/DDC) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],Task Force for Global Health (TFGH) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],United Kingdom of Great Britain and Northern Ireland ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],United Nations Development Programme (UNDP) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],United Nations Environment Programme (UNEP) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],United Nations Foundation ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],United Nations Office for Project Services (UNOPS) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],United Nations Population Fund (UNFPA) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],United States Agency for International Development (USAID) ,IATI,n/a,n/a
41,World Health Organization [XM-DAC-928],World Health Organization [XM-DAC-928],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief),Charity Projects Ltd,CRS,1,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326568 ],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326568],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326570],IATI,n/a,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326572],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326573],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326574],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326575],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326576],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326577],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326578],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326579],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326580],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326581],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326582],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326583],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326594],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326595],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326596],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326597],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326598],IATI,0,n/a
42,Charity Projects Ltd (Comic Relief) [GB-CHC-326568],Charity Projects Ltd (Comic Relief) [GB-CHC-326599],IATI,0,n/a
43,African Development Bank,AfDB African Water Facility Fund,CRS,1,n/a
43,African Development Bank,AfDB Ordinary Capital,CRS,n/a,1
43,African Development Bank,Fund for African Private Sector Assistance,CRS,1,n/a
43,African Development Bank [XM-DAC-46002],African Development Bank [XM-DAC-46002],IATI,0,0
43,African Development Bank [XM-DAC-46002],African Development Fund [XM-DAC-46003],IATI,0,0
43,African Development Bank [XM-DAC-46002],Government Of Ethiopia ,IATI,n/a,n/a
43,African Development Bank [XM-DAC-46002],Rural Water Supply & Sanitation [XM-DAC-RWSSI],IATI,0,n/a
43,African Development Fund,AfDF,CRS,1,1
45,EU Institutions,European Investment Bank,CRS,n/a,1
45,European Investment Bank [XM-DAC-918-3],European Investment Bank [XM-DAC-918-3],IATI,n/a,0
NEW 1,UN Capital Development Fund,UNCDF,CRS ,1,1
NEW 2,United Nations Industrial Development Organization,UNIDO,CRS,1,1
NEW 3,WTO - International Trade Centre,International Trade Centre,CRS,1,1
