Candid grant_strategy_tran,Tidied 5-digit purpose name,Tidied 3-digit sector name
"Capacity-building and technical assistance; Network-building and collaboration; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
Capacity-building and technical assistance; Online media,Other Multisector,Other Multisector
Capacity-building and technical assistance; Online media; Outreach,Other Multisector,Other Multisector
Capacity-building and technical assistance; Outreach,Other Multisector,Other Multisector
"Capacity-building and technical assistance; Policy, advocacy and systems reform","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Policy, advocacy and systems reform; Convening","Communications policy, planning and administration",Communications
"Capacity-building and technical assistance; Policy, advocacy and systems reform; Outreach; Research",Other Multisector,Other Multisector
"Capacity-building and technical assistance; Policy, advocacy and systems reform; Program support; Ethics and accountability",Multisector education/training,Other Multisector
"Capacity-building and technical assistance; Policy, advocacy and systems reform; Program support; Public engagement and education",Multisector education/training,Other Multisector
"Capacity-building and technical assistance; Policy, advocacy and systems reform; Public engagement and education",Education facilities and training,Education
"Capacity-building and technical assistance; Policy, advocacy and systems reform; Public engagement and education; Network-building and collaboration",Education facilities and training,Education
"Capacity-building and technical assistance; Policy, advocacy and systems reform; Public engagement and education; Online engagement",Education facilities and training,Education
"Capacity-building and technical assistance; Policy, advocacy and systems reform; Public engagement and education; Program support",Education facilities and training,Education
"Capacity-building and technical assistance; Policy, advocacy and systems reform; Public engagement and education; Research; Program support",Education facilities and training,Education
Capacity-building and technical assistance; Presentations and productions; Program support; Leadership and professional development; Equal access,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Product and service delivery,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program evaluations,Education facilities and training,Education
Capacity-building and technical assistance; Program evaluations; Institutional evaluations,Education facilities and training,Education
Capacity-building and technical assistance; Program expansion,Education facilities and training,Education
Capacity-building and technical assistance; Program support,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program support; Advocacy,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program support; Continuing support,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program support; Continuing support; Equal access,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program support; Continuing support; Fundraising,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program support; Continuing support; Public engagement and education,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program support; General support,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program support; Grassroots organizing,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program support; Leadership and professional development,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program support; Outreach,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Program support; Participatory grantmaking,Statistical capacity building,Other Social Infrastructure & Services
Capacity-building and technical assistance; Program support; Research,Statistical capacity building,Other Social Infrastructure & Services
Capacity-building and technical assistance; Public engagement and education,Education facilities and training,Education
Capacity-building and technical assistance; Public engagement and education; Advocacy; Coalition building,Education facilities and training,Education
Capacity-building and technical assistance; Public engagement and education; Advocacy; Research,Education facilities and training,Education
"Capacity-building and technical assistance; Public engagement and education; Network-building and collaboration; Policy, advocacy and systems reform; Program support",Education facilities and training,Education
Capacity-building and technical assistance; Public engagement and education; Program support,Education facilities and training,Education
Capacity-building and technical assistance; Rent; Advocacy,Multisector education/training,Other Multisector
Capacity-building and technical assistance; Research,Educational research,Education
Capacity-building and technical assistance; Research and evaluation; Advocacy; Participatory grantmaking,Educational research,Education
Capacity-building and technical assistance; Research and evaluation; Program support,Educational research,Education
Capacity-building and technical assistance; Systems reform; Program support,Education facilities and training,Education
Capacity-building and technical assistance; Travel awards; Grantee relations; Conference attendance; Coalition building,Education facilities and training,Education
Capital and infrastructure,Industrial development,Industry
Capital and infrastructure; Faculty and staff development; Equipment,Industrial development,Industry
Capital and infrastructure; General support,Industrial development,Industry
Capital and infrastructure; Leadership and professional development,Industrial development,Industry
Capital and infrastructure; Program creation,Industrial development,Industry
Coalition building,Multisector education/training,Other Multisector
Coalition building; Conference hosting ; Public engagement and education; Advocacy; Convening,Education facilities and training,Education
Coalition building; General support,Multisector education/training,Other Multisector
Coalition building; General support; Convening; Research,Multisector education/training,Other Multisector
Coalition building; General support; Program support,Multisector education/training,Other Multisector
Coalition building; Grassroots organizing; Public engagement and education; Program support; Equal access,Multisector education/training,Other Multisector
"Coalition building; Leadership and professional development; Ethics and accountability; Research; Policy, advocacy and systems reform; General support; Continuing support",Multisector education/training,Other Multisector
Coalition building; Litigation; Network-building and collaboration; Program support,Legislatures and political parties,Government & Civil Society
"Coalition building; Network-building and collaboration; Policy, advocacy and systems reform; Continuing support; Regulation and administration; Program support",Education facilities and training,Education
"Coalition building; Network-building and collaboration; Policy, advocacy and systems reform; Equal access; Program support",Education facilities and training,Education
Conference attendance; Advocacy,Education facilities and training,Education
Conference attendance; Advocacy; Emergency funds,Education facilities and training,Education
Conference attendance; Advocacy; Emergency funds; Capacity-building and technical assistance,Education facilities and training,Education
Conference attendance; Advocacy; Participatory grantmaking,Education facilities and training,Education
Conference attendance; Capacity-building and technical assistance; Participatory grantmaking,Education facilities and training,Education
Conference attendance; Continuing support; Convening; Network-building and collaboration,Multisector education/training,Other Multisector
Conference attendance; Equal access; System and operational improvements,Multisector education/training,Other Multisector
Conference attendance; Leadership and professional development; Advocacy; Program support,Education facilities and training,Education
Conference attendance; Public engagement and education; Participatory grantmaking,Education facilities and training,Education
Conference attendance; Public engagement and education; Product and service delivery; Equal access,Education facilities and training,Education
Conference attendance; Technical assistance; Participatory grantmaking,Education facilities and training,Education
Conference hosting ; Capacity-building and technical assistance; Advocacy; Nonprofit collaborations,Education facilities and training,Education
Conference presenting; Research; Leadership and professional development,Education facilities and training,Education
Conferences and exhibits,Education facilities and training,Education
"Conferences and exhibits; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Network-building and collaboration",Education facilities and training,Education
Conferences and exhibits; Board development,Education facilities and training,Education
Conferences and exhibits; Capacity-building and technical assistance,Education facilities and training,Education
"Conferences and exhibits; Faculty and staff development; Policy, advocacy and systems reform",Education facilities and training,Education
Conferences and exhibits; General support,Education facilities and training,Education
Conferences and exhibits; General support; Program support,Education facilities and training,Education
Conferences and exhibits; Network-building and collaboration; Outreach,Education facilities and training,Education
"Conferences and exhibits; Policy, advocacy and systems reform",Education facilities and training,Education
"Conferences and exhibits; Policy, advocacy and systems reform; Capacity-building and technical assistance",Education facilities and training,Education
Continuing support,Multisector education/training,Other Multisector
"Continuing support; Advocacy; Equal access; Policy, advocacy and systems reform; Public engagement and education; Program expansion; Network-building and collaboration; Participatory grantmaking",Multisector education/training,Other Multisector
"Continuing support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Building and renovations; Participatory grantmaking",Multisector education/training,Other Multisector
"Continuing support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance; Participatory grantmaking",Multisector education/training,Other Multisector
"Continuing support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Network-building and collaboration",Multisector education/training,Other Multisector
"Continuing support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Participatory grantmaking",Education facilities and training,Education
Continuing support; Advocacy; General support; Research and evaluation,Education facilities and training,Education
"Continuing support; Advocacy; Policy, advocacy and systems reform; Network-building and collaboration",Education facilities and training,Education
Continuing support; Advocacy; Program expansion,Education facilities and training,Education
Continuing support; Equal access,Multisector education/training,Other Multisector
Continuing support; Equal access; Public engagement and education; Recordings,Multisector education/training,Other Multisector
Continuing support; General support,Multisector education/training,Other Multisector
Continuing support; General support; Equal access,Multisector education/training,Other Multisector
Continuing support; General support; Online engagement,Multisector education/training,Other Multisector
Continuing support; General support; Public engagement and education; Convening,Education facilities and training,Education
Continuing support; Network-building and collaboration; Convening; Conference attendance; Grassroots organizing,Multisector education/training,Other Multisector
"Continuing support; Policy, advocacy and systems reform; Public engagement and education; Equal access",Multisector education/training,Other Multisector
Continuing support; Presentations and productions; Nonprofit collaborations,Multisector education/training,Other Multisector
Continuing support; Program support,Multisector education/training,Other Multisector
Continuing support; Program support; Conference attendance; General support,Multisector education/training,Other Multisector
Continuing support; Program support; Equal access,Multisector education/training,Other Multisector
"Continuing support; Program support; Policy, advocacy and systems reform; Network-building and collaboration",Multisector education/training,Other Multisector
Convening,Education facilities and training,Education
"Convening; Advocacy; Equal access; Policy, advocacy and systems reform; Network-building and collaboration; Participatory grantmaking",Education facilities and training,Education
"Convening; Advocacy; Equal access; Policy, advocacy and systems reform; Public engagement and education; Network-building and collaboration; Capacity-building and technical assistance; Research",Education facilities and training,Education
"Convening; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance; Network-building and collaboration; Participatory grantmaking","Communications policy, planning and administration",Communications
"Convening; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education; Participatory grantmaking",Education facilities and training,Education
Convening; Advocacy; Program support,Education facilities and training,Education
Convening; Advocacy; Public engagement and education,Education facilities and training,Education
Convening; Conferences and exhibits,Education facilities and training,Education
Convening; Conferences and exhibits; Equal access; Coalition building,Education facilities and training,Education
"Convening; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance",Education facilities and training,Education
Convening; Program support,Multisector education/training,Other Multisector
Convening; Public engagement and education,Multisector education/training,Other Multisector
Convening; Student aid,Multisector education/training,Other Multisector
Curriculum development; Advocacy; Equal access; Conference attendance,Advanced technical and managerial training,Post-Secondary Education
"Curriculum development; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform",Education policy and administrative management,Education
Curriculum development; Capacity-building and technical assistance; Faculty and staff development,Education facilities and training,Education
Curriculum development; Faculty and staff development,Education facilities and training,Education
Curriculum development; Management and leadership development; Online media; Program support; Program evaluations,Education facilities and training,Education
"Curriculum development; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
"Curriculum development; Policy, advocacy and systems reform; Program support; Public engagement and education",Multisector education/training,Other Multisector
Curriculum development; Program support,Multisector education/training,Other Multisector
Curriculum development; Student aid,Education policy and administrative management,Education
Data and measurement systems; Capacity-building and technical assistance,Statistical capacity building,Other Social Infrastructure & Services
Data and measurement systems; Capacity-building and technical assistance; Program support,Statistical capacity building,Other Social Infrastructure & Services
Data and measurement systems; Research; Program support; Capacity-building and technical assistance,Statistical capacity building,Other Social Infrastructure & Services
Debt reduction; Equal access,Statistical capacity building,Other Social Infrastructure & Services
Debt reduction; Rent,Statistical capacity building,Other Social Infrastructure & Services
Doctoral support; Management and leadership development; Capacity-building and technical assistance,Statistical capacity building,Other Social Infrastructure & Services
Emergency funds,Multisector education/training,Other Multisector
Emergency funds; Advocacy; Participatory grantmaking,Multisector education/training,Other Multisector
Emergency funds; Advocacy; Systems reform,Multisector education/training,Other Multisector
Equal access,Public sector policy and administrative management,Government & Civil Society
Equal access; Advocacy,Public sector policy and administrative management,Government & Civil Society
Equal access; Advocacy; Capacity-building and technical assistance,Public sector policy and administrative management,Government & Civil Society
Equal access; Advocacy; Capacity-building and technical assistance; Nonprofit collaborations,Public sector policy and administrative management,Government & Civil Society
Equal access; Advocacy; Conference attendance,Education facilities and training,Education
Equal access; Advocacy; Faculty and staff development,Advanced technical and managerial training,Post-Secondary Education
Equal access; Advocacy; Program support,Multisector education/training,Other Multisector
Equal access; Advocacy; Public engagement and education; Product and service delivery,Public sector policy and administrative management,Government & Civil Society
Equal access; Advocacy; Public engagement and education; Product and service delivery; Systems reform,Public sector policy and administrative management,Government & Civil Society
Equal access; Capacity-building and technical assistance; Capital and infrastructure; Program expansion,Advanced technical and managerial training,Post-Secondary Education
Equal access; Conference attendance,Education facilities and training,Education
Equal access; Continuing support,Education facilities and training,Education
Equal access; Curriculum development,Public sector policy and administrative management,Government & Civil Society
Equal access; Equipment,Public sector policy and administrative management,Government & Civil Society
Equal access; Equipment; Advocacy,Public sector policy and administrative management,Government & Civil Society
Equal access; Facilities maintenance,Multisector education/training,Other Multisector
Equal access; General support,Advanced technical and managerial training,Post-Secondary Education
Equal access; Grantee relations; Advocacy,Advanced technical and managerial training,Post-Secondary Education
Equal access; Internships,Advanced technical and managerial training,Post-Secondary Education
"Equal access; Litigation; Policy, advocacy and systems reform; Public engagement and education; Program support",Advanced technical and managerial training,Post-Secondary Education
Equal access; Online engagement; Travel awards; Publications,Public sector policy and administrative management,Government & Civil Society
Equal access; Outreach; Advocacy,Public sector policy and administrative management,Government & Civil Society
Equal access; Outreach; Pilot programs,Multisector education/training,Other Multisector
Equal access; Participatory grantmaking,Public sector policy and administrative management,Government & Civil Society
"Equal access; Policy, advocacy and systems reform; Online engagement; Program support",Public sector policy and administrative management,Government & Civil Society
"Equal access; Policy, advocacy and systems reform; Public engagement and education; Building and renovations; Equipment; Faculty and staff development; Program support",Public sector policy and administrative management,Government & Civil Society
"Equal access; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance; Continuing support",Public sector policy and administrative management,Government & Civil Society
"Equal access; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance; Program support",Advanced technical and managerial training,Post-Secondary Education
"Equal access; Policy, advocacy and systems reform; Public engagement and education; Nonprofit collaborations; Program support",Multisector education/training,Other Multisector
"Equal access; Policy, advocacy and systems reform; Public engagement and education; Program support",Multisector education/training,Other Multisector
"Equal access; Policy, advocacy and systems reform; Public engagement and education; Research; Program support",Multisector education/training,Other Multisector
Equal access; Product and service delivery,Public sector policy and administrative management,Government & Civil Society
Equal access; Product and service delivery; Advocacy,Public sector policy and administrative management,Government & Civil Society
Equal access; Program creation,Public sector policy and administrative management,Government & Civil Society
Equal access; Program expansion,Public sector policy and administrative management,Government & Civil Society
Equal access; Program support,Multisector education/training,Other Multisector
Equal access; Program support; Advocacy,Multisector education/training,Other Multisector
Equal access; Program support; Equipment,Multisector education/training,Other Multisector
Equal access; Program support; Public engagement and education,Multisector education/training,Other Multisector
Equal access; Public engagement and education,Public sector policy and administrative management,Government & Civil Society
Equal access; Public engagement and education; Advocacy; Information and Referral; Product and service delivery,Public sector policy and administrative management,Government & Civil Society
Equal access; Public engagement and education; Advocacy; Product and service delivery,Public sector policy and administrative management,Government & Civil Society
Equal access; Public engagement and education; Participatory grantmaking,Public sector policy and administrative management,Government & Civil Society
"Equal access; Public engagement and education; Policy, advocacy and systems reform; Continuing support",Public sector policy and administrative management,Government & Civil Society
"Equal access; Public engagement and education; Policy, advocacy and systems reform; Program support",Multisector education/training,Other Multisector
Equal access; Public engagement and education; Program support,Multisector education/training,Other Multisector
Equal access; Public engagement and education; Recordings,Public sector policy and administrative management,Government & Civil Society
Equal access; Public engagement and education; Recordings; Program support,Public sector policy and administrative management,Government & Civil Society
Equal access; Research; Public engagement and education,Public sector policy and administrative management,Government & Civil Society
Equal access; Scholarships; Participatory grantmaking,Public sector policy and administrative management,Government & Civil Society
Equal access; Systems reform; Public engagement and education,Public sector policy and administrative management,Government & Civil Society
Equipment,Other Multisector,Other Multisector
"Equipment; Advocacy; Equal access; Policy, advocacy and systems reform",Other Multisector,Other Multisector
"Equipment; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform",Other Multisector,Other Multisector
Equipment; Advocacy; Financial sustainability; Seed money; Participatory grantmaking,Other Multisector,Other Multisector
Equipment; Capacity-building and technical assistance; Conference attendance; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
Equipment; Equal access,Advanced technical and managerial training,Post-Secondary Education
Equipment; Equal access; Advocacy; Grassroots organizing; Information technology,Advanced technical and managerial training,Post-Secondary Education
Equipment; Research and evaluation,Multisector education/training,Other Multisector
Equipment; Travel awards,Multisector education/training,Other Multisector
Ethics and accountability,Other Multisector,Other Multisector
Ethics and accountability; Advocacy,Other Multisector,Other Multisector
Ethics and accountability; Advocacy; Systems reform,Multisector education/training,Other Multisector
Ethics and accountability; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Ethics and accountability; Convening,Other Multisector,Other Multisector
Ethics and accountability; Equal access,Public sector policy and administrative management,Government & Civil Society
Ethics and accountability; Equal access; Systems reform; Advocacy,Public sector policy and administrative management,Government & Civil Society
"Ethics and accountability; Leadership and professional development; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
"Ethics and accountability; Policy, advocacy and systems reform; Program support; Public engagement and education",Other Multisector,Other Multisector
"Ethics and accountability; Policy, advocacy and systems reform; Public engagement and education",Other Multisector,Other Multisector
"Ethics and accountability; Policy, advocacy and systems reform; Public engagement and education; Program support",Other Multisector,Other Multisector
Ethics and accountability; Public engagement and education,Multisector education/training,Other Multisector
Ethics and accountability; Research,Multisector education/training,Other Multisector
Ethics and accountability; Research and evaluation,Multisector education/training,Other Multisector
Ethics and accountability; Research and evaluation; Advocacy,Multisector education/training,Other Multisector
Ethics and accountability; Research; Advocacy,Multisector education/training,Other Multisector
Ethics and accountability; Research; Advocacy; General support,Multisector education/training,Other Multisector
Ethics and accountability; Research; Advocacy; General support; Grassroots organizing; Litigation; Capacity-building and technical assistance,Multisector education/training,Other Multisector
Ethics and accountability; Research; Grassroots organizing; General support; Continuing support,Multisector education/training,Other Multisector
Ethics and accountability; Research; Public engagement and education; General support,Multisector education/training,Other Multisector
Ethics and accountability; Research; Public engagement and education; General support; Continuing support,Multisector education/training,Other Multisector
Ethics and accountability; Research; Public engagement and education; Leadership and professional development; Capacity-building and technical assistance; Conference attendance,Multisector education/training,Other Multisector
Ethics and accountability; Systems reform; Public engagement and education,Multisector education/training,Other Multisector
Exhibitions; Program support; Public engagement and education,Education facilities and training,Education
Faculty and staff development,Education facilities and training,Education
"Faculty and staff development; Advocacy; Equal access; Policy, advocacy and systems reform; Scholarships",Public sector policy and administrative management,Government & Civil Society
Faculty and staff development; Capacity-building and technical assistance,Public sector policy and administrative management,Government & Civil Society
Faculty and staff development; Capacity-building and technical assistance; Management and leadership development,Public sector policy and administrative management,Government & Civil Society
Faculty and staff development; Capacity-building and technical assistance; Management and leadership development; Conference attendance,Public sector policy and administrative management,Government & Civil Society
Faculty and staff development; Capacity-building and technical assistance; Outreach; General support,Public sector policy and administrative management,Government & Civil Society
Faculty and staff development; Network-building and collaboration,Public sector policy and administrative management,Government & Civil Society
Faculty and staff development; Program support; Continuing support,Education facilities and training,Education
Faculty and staff development; Rent; Program support,Education facilities and training,Education
Fellowships,Education facilities and training,Education
Fellowships; Program support,Small and medium-sized enterprises (SME) development,Industry
Financial services,Small and medium-sized enterprises (SME) development,Industry
Financial services; Online media,Small and medium-sized enterprises (SME) development,Industry
Fiscal sponsorships ; General support,Multisector education/training,Other Multisector
Fiscal sponsorships ; Outreach,Multisector education/training,Other Multisector
Fiscal sponsorships ; Program support,Multisector education/training,Other Multisector
Fundraising,Multisector education/training,Other Multisector
General support,Multisector education/training,Other Multisector
General support; Advocacy,Multisector education/training,Other Multisector
General support; Advocacy; Conferences and exhibits; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
General support; Advocacy; Conferences and exhibits; Program support,Advanced technical and managerial training,Post-Secondary Education
"General support; Advocacy; Equal access; Grassroots organizing; Systems reform; Policy, advocacy and systems reform; Public engagement and education",Advanced technical and managerial training,Post-Secondary Education
"General support; Advocacy; Equal access; Policy, advocacy and systems reform",Advanced technical and managerial training,Post-Secondary Education
"General support; Advocacy; Equal access; Policy, advocacy and systems reform; Capacity-building and technical assistance",Advanced technical and managerial training,Post-Secondary Education
General support; Advocacy; Equal access; Publications,Public sector policy and administrative management,Government & Civil Society
"General support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Network-building and collaboration; Participatory grantmaking",Public sector policy and administrative management,Government & Civil Society
"General support; Advocacy; Equal access; Systems reform; Policy, advocacy and systems reform; Public engagement and education",Public sector policy and administrative management,Government & Civil Society
General support; Advocacy; Outreach; Public engagement and education,Multisector education/training,Other Multisector
General support; Advocacy; Participatory grantmaking; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
General support; Advocacy; Product and service delivery,Advanced technical and managerial training,Post-Secondary Education
General support; Advocacy; Public engagement and education,Advanced technical and managerial training,Post-Secondary Education
General support; Building acquisitions,Advanced technical and managerial training,Post-Secondary Education
General support; Building and renovations,Advanced technical and managerial training,Post-Secondary Education
General support; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
General support; Capacity-building and technical assistance; Advocacy,Advanced technical and managerial training,Post-Secondary Education
"General support; Capacity-building and technical assistance; Advocacy; Equal access; Policy, advocacy and systems reform; Network-building and collaboration; Participatory grantmaking",Advanced technical and managerial training,Post-Secondary Education
General support; Capacity-building and technical assistance; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
"General support; Capacity-building and technical assistance; Policy, advocacy and systems reform; Public engagement and education",Advanced technical and managerial training,Post-Secondary Education
General support; Capacity-building and technical assistance; Program expansion; Continuing support,Advanced technical and managerial training,Post-Secondary Education
General support; Capacity-building and technical assistance; Program support,Advanced technical and managerial training,Post-Secondary Education
General support; Coalition building,Advanced technical and managerial training,Post-Secondary Education
General support; Continuing support,Multisector education/training,Other Multisector
General support; Continuing support; Equal access,Education facilities and training,Education
General support; Continuing support; Online engagement,Multisector education/training,Other Multisector
"General support; Continuing support; Public engagement and education; Publications; Policy, advocacy and systems reform; Program evaluations",Multisector education/training,Other Multisector
General support; Continuing support; Systems reform,Multisector education/training,Other Multisector
General support; Equal access,Public sector policy and administrative management,Government & Civil Society
General support; Equal access; Advocacy; Donor collaborations,Public sector policy and administrative management,Government & Civil Society
General support; Equal access; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
General support; Equal access; Curriculum development,Public sector policy and administrative management,Government & Civil Society
"General support; Equal access; Ethics and accountability; Litigation; Policy, advocacy and systems reform; Public engagement and education",Public sector policy and administrative management,Government & Civil Society
"General support; Equal access; Ethics and accountability; Policy, advocacy and systems reform; Public engagement and education; Research",Public sector policy and administrative management,Government & Civil Society
General support; Equal access; Network-building and collaboration,Public sector policy and administrative management,Government & Civil Society
"General support; Equal access; Policy, advocacy and systems reform; Public engagement and education",Public sector policy and administrative management,Government & Civil Society
"General support; Equal access; Policy, advocacy and systems reform; Public engagement and education; Capacity-building and technical assistance",Public sector policy and administrative management,Government & Civil Society
General support; Equal access; Public engagement and education,Public sector policy and administrative management,Government & Civil Society
General support; Equal access; Regranting; Capacity-building and technical assistance,Public sector policy and administrative management,Government & Civil Society
General support; Grassroots organizing,Multisector education/training,Other Multisector
General support; Grassroots organizing; Advocacy,Multisector education/training,Other Multisector
General support; Grassroots organizing; Capacity-building and technical assistance,Multisector education/training,Other Multisector
"General support; Grassroots organizing; Equal access; Policy, advocacy and systems reform; Public engagement and education",Multisector education/training,Other Multisector
General support; Grassroots organizing; Fellowships; Outreach; Capacity-building and technical assistance,Multisector education/training,Other Multisector
General support; Grassroots organizing; Litigation; Capacity-building and technical assistance,Multisector education/training,Other Multisector
"General support; Grassroots organizing; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
General support; Network-building and collaboration,Advanced technical and managerial training,Post-Secondary Education
General support; Network-building and collaboration; Participatory grantmaking; Advocacy; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
General support; Network-building and collaboration; Participatory grantmaking; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
General support; Network-building and collaboration; Participatory grantmaking; Research; Advocacy; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
General support; Network-building and collaboration; Public engagement and education,Advanced technical and managerial training,Post-Secondary Education
General support; Participatory grantmaking,Multisector education/training,Other Multisector
"General support; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
"General support; Policy, advocacy and systems reform; Capacity-building and technical assistance",Multisector education/training,Other Multisector
"General support; Policy, advocacy and systems reform; Capacity-building and technical assistance; Regranting",Multisector education/training,Other Multisector
"General support; Policy, advocacy and systems reform; Emergency funds",Multisector education/training,Other Multisector
"General support; Policy, advocacy and systems reform; Grassroots organizing; Capacity-building and technical assistance",Multisector education/training,Other Multisector
"General support; Policy, advocacy and systems reform; Program support",Multisector education/training,Other Multisector
"General support; Policy, advocacy and systems reform; Public engagement and education",Multisector education/training,Other Multisector
"General support; Policy, advocacy and systems reform; Research and evaluation",Multisector education/training,Other Multisector
General support; Presentations and productions; Participatory grantmaking; Network-building and collaboration; Advocacy; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
General support; Presentations and productions; Participatory grantmaking; Network-building and collaboration; Research; Advocacy; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
General support; Program support,Multisector education/training,Other Multisector
General support; Program support; Continuing support; Product and service delivery; Capacity-building and technical assistance,Multisector education/training,Other Multisector
"General support; Program support; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
General support; Public engagement and education,Multisector education/training,Other Multisector
General support; Public engagement and education; Advocacy; Grassroots organizing,Public sector policy and administrative management,Government & Civil Society
General support; Public engagement and education; Conference attendance,Public sector policy and administrative management,Government & Civil Society
General support; Public engagement and education; Continuing support,Public sector policy and administrative management,Government & Civil Society
General support; Public engagement and education; Ethics and accountability,Public sector policy and administrative management,Government & Civil Society
"General support; Public engagement and education; Policy, advocacy and systems reform",Multisector education/training,Other Multisector
General support; Public engagement and education; Product and service delivery; Advocacy,Advanced technical and managerial training,Post-Secondary Education
General support; Public engagement and education; Research,Advanced technical and managerial training,Post-Secondary Education
General support; Research and evaluation,Multisector education/training,Other Multisector
General support; Research and evaluation; Public engagement and education,Multisector education/training,Other Multisector
General support; Research; Ethics and accountability; Coalition building,Public sector policy and administrative management,Government & Civil Society
General support; Research; Participatory grantmaking; Advocacy; Capacity-building and technical assistance,Public sector policy and administrative management,Government & Civil Society
General support; System and operational improvements,Small and medium-sized enterprises (SME) development,Industry
Graduate support,Multisector education/training,Other Multisector
Grantee relations,Other Multisector,Other Multisector
Grantee relations; Advocacy; Capacity-building and technical assistance,Other Multisector,Other Multisector
Grantee relations; Program support,Public sector policy and administrative management,Government & Civil Society
Grassroots organizing,Other Multisector,Other Multisector
Grassroots organizing; Advocacy,Other Multisector,Other Multisector
Grassroots organizing; Advocacy; Capacity-building and technical assistance; Public engagement and education; Conference attendance,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Advocacy; Convening; Public engagement and education,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Advocacy; General support; Continuing support,Multisector education/training,Other Multisector
Grassroots organizing; Advocacy; Outreach,Other Multisector,Other Multisector
Grassroots organizing; Advocacy; Public engagement and education; Capacity-building and technical assistance; Network-building and collaboration,Other Multisector,Other Multisector
Grassroots organizing; Advocacy; Systems reform; Public engagement and education; Continuing support,Educational research,Education
Grassroots organizing; Capacity-building and technical assistance,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Capacity-building and technical assistance; Advocacy,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Conference attendance; Systems reform; Participatory grantmaking,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Curriculum development,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Equal access; Public engagement and education; Program support,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; General support,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; General support; Continuing support,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; General support; Ethics and accountability; Research,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; General support; Public engagement and education,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Leadership and professional development; General support; Continuing support,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Litigation; General support; Regranting,Advanced technical and managerial training,Post-Secondary Education
Grassroots organizing; Network-building and collaboration; Public engagement and education,Multisector education/training,Other Multisector
Grassroots organizing; Outreach,Multisector education/training,Other Multisector
